"","time","posX","posY","orientation","mac","signal","rawTime","angle","posXY","medSignal","avgSignal","num","sdSignal","iqrSignal","dist"
"138863",2006-02-11 03:58:42,1,6,0.6,"00:0f:a3:39:e1:c0",-49,1139651922681,0,"1-6",-47,-46.9636363636364,110,3.35902801779825,1,6.50691939399898
"146964",2006-02-11 04:09:28,1,7,0.1,"00:0f:a3:39:e1:c0",-54,1139652568789,0,"1-7",-55,-52.2818181818182,110,5.28999716997864,10,6.53758365147246
"154734",2006-02-11 04:16:55,1,8,0.7,"00:0f:a3:39:e1:c0",-52,1139653015233,0,"1-8",-55,-56.4636363636364,110,3.35013972795624,6,6.71863081289633
"162553",2006-02-11 04:24:26,1,9,0.5,"00:0f:a3:39:e1:c0",-61,1139653466989,0,"1-9",-54,-54.5909090909091,110,5.06163018042635,9,7.03846574190711
"363611",2006-02-11 08:54:08,10,3,0.4,"00:0f:a3:39:e1:c0",-44,1139669648712,0,"10-3",-44,-45.2454545454545,110,2.6961963137233,4,4.14004830889689
"397974",2006-02-11 09:50:44,10,4,0.4,"00:0f:a3:39:e1:c0",-54,1139673044441,0,"10-4",-50,-49.5137614678899,109,1.99357615995441,3,3.39705755029261
"425213",2006-02-11 10:41:37,10,5,0.1,"00:0f:a3:39:e1:c0",-44,1139676097087,0,"10-5",-45,-44.3363636363636,110,1.32911830281798,2,2.81780056072107
"453660",2006-02-11 11:12:14,10,6,1,"00:0f:a3:39:e1:c0",-44,1139677934778,0,"10-6",-43,-42.7909090909091,110,1.0844645619637,1,2.51793566240283
"488821",2006-02-11 12:03:04,10,7,0.7,"00:0f:a3:39:e1:c0",-46,1139680984401,0,"10-7",-52,-51.2636363636364,110,2.83709786053023,4.75,2.59615099714943
"523276",2006-02-11 12:44:33,10,8,0.6,"00:0f:a3:39:e1:c0",-43,1139683473788,0,"10-8",-45,-44.7272727272727,110,1.13257918619885,2,3.0232432915662
"370959",2006-02-11 09:05:39,11,3,359.9,"00:0f:a3:39:e1:c0",-51,1139670339220,0,"11-3",-51,-50.3454545454545,110,1.22239322819498,1,4.81040538832228
"404744",2006-02-11 10:10:13,11,4,0.4,"00:0f:a3:39:e1:c0",-54,1139674213614,0,"11-4",-53,-52.7545454545455,110,1.88760497556732,2.75,4.18807831827438
"432044",2006-02-11 10:48:25,11,5,0.3,"00:0f:a3:39:e1:c0",-51,1139676505081,0,"11-5",-50,-49.6090909090909,110,1.39524391702311,1,3.73363094051889
"460911",2006-02-11 11:20:48,11,6,0.1,"00:0f:a3:39:e1:c0",-43,1139678448162,0,"11-6",-44,-43.5090909090909,110,1.37303958358153,1.75,3.51283361405006
"495511",2006-02-11 12:10:38,11,7,0.7,"00:0f:a3:39:e1:c0",-48,1139681438997,0,"11-7",-47,-48.0363636363636,110,2.98905426032092,3.75,3.56931365951495
"530219",2006-02-11 12:52:28,11,8,0.3,"00:0f:a3:39:e1:c0",-47,1139683948802,0,"11-8",-43,-43.0909090909091,110,1.52378966586211,2,3.89101529166874
"377745",2006-02-11 09:12:08,12,3,359.9,"00:0f:a3:39:e1:c0",-53,1139670728864,0,"12-3",-51,-51.4090909090909,110,0.720543303494089,1,5.58032257132148
"411696",2006-02-11 10:24:46,12,4,0.2,"00:0f:a3:39:e1:c0",-48,1139675086852,0,"12-4",-44,-45.4587155963303,109,2.20072424985984,4,5.05371150739731
"439118",2006-02-11 10:55:37,12,5,0.7,"00:0f:a3:39:e1:c0",-46,1139676937164,0,"12-5",-47,-48.2545454545455,110,2.84600593665806,5,4.68401537145215
"467734",2006-02-11 11:27:54,12,6,0.8,"00:0f:a3:39:e1:c0",-57,1139678874409,0,"12-6",-50,-52,105,4.87339717240448,8,4.50998891351187
"502304",2006-02-11 12:17:52,12,7,0.7,"00:0f:a3:39:e1:c0",-56,1139681872260,0,"12-7",-52,-51.2,110,4.15921658113729,8,4.55411901469428
"537422",2006-02-11 13:08:11,12,8,0,"00:0f:a3:39:e1:c0",-49,1139684891529,0,"12-8",-50.5,-49.8454545454545,110,3.35700380728636,7,4.81040538832228
"384774",2006-02-11 09:33:55,13,3,359.6,"00:0f:a3:39:e1:c0",-55,1139672035466,0,"13-3",-52,-52.2272727272727,110,0.85304732661864,1,6.41404708432983
"418587",2006-02-11 10:34:57,13,4,0.7,"00:0f:a3:39:e1:c0",-50,1139675697418,0,"13-4",-48,-48,110,1.54444847790965,2.75,5.96154342431555
"446281",2006-02-11 11:04:47,13,5,0.7,"00:0f:a3:39:e1:c0",-45,1139677487130,0,"13-5",-47,-49.2454545454545,110,3.59965942231074,7,5.65154846037792
"474718",2006-02-11 11:34:55,13,6,0.1,"00:0f:a3:39:e1:c0",-53,1139679295883,0,"13-6",-51,-53.5,110,4.13477088545779,8,5.50817574156816
"509136",2006-02-11 12:27:08,13,7,0.3,"00:0f:a3:39:e1:c0",-49,1139682428875,0,"13-7",-49,-49.9363636363636,110,4.38989095751239,1,5.54436651025164
"544481",2006-02-11 13:15:40,13,8,0,"00:0f:a3:39:e1:c0",-54,1139685340093,0,"13-8",-54,-53.3454545454545,110,1.12874342438768,1,5.7567351858497
"639305",2006-02-19 02:46:31,14,3,0.1,"00:0f:a3:39:e1:c0",-50,1140338791592,0,"14-3",-51,-50.7889908256881,109,0.850635867774621,1,7.28971878744304
"1091059",2006-03-09 12:29:55,14,7,359.9,"00:0f:a3:39:e1:c0",-50,1141928995248,0,"14-7",-51,-50.6909090909091,110,1.39951141242027,1,6.53758365147246
"1136214",2006-03-09 13:34:43,14,8,0.5,"00:0f:a3:39:e1:c0",-55,1141932883055,0,"14-8",-52,-50.8363636363636,110,1.92295296963711,3,6.71863081289633
"646181",2006-02-19 02:52:30,15,3,0.6,"00:0f:a3:39:e1:c0",-48,1140339150231,0,"15-3",-54,-51.787037037037,108,3.68642603793903,7,8.1939001702486
"1097438",2006-03-09 12:41:38,15,7,359.8,"00:0f:a3:39:e1:c0",-50,1141929698600,0,"15-7",-48,-48.7818181818182,110,1.69933510031207,3,7.53259583410659
"1142766",2006-03-09 13:40:37,15,8,359.1,"00:0f:a3:39:e1:c0",-44,1141933237461,0,"15-8",-45,-45.2818181818182,110,1.08477214604759,2,7.69025357189215
"652939",2006-02-19 02:59:03,16,3,0.2,"00:0f:a3:39:e1:c0",-56,1140339543703,0,"16-3",-52,-53.9727272727273,110,2.55026205132767,5,9.11811384004389
"1103776",2006-03-09 12:47:47,16,7,0.4,"00:0f:a3:39:e1:c0",-53,1141930067375,0,"16-7",-53,-52.8363636363636,110,1.55349427218494,2,8.52877482408816
"1149211",2006-03-09 13:46:45,16,8,1.5,"00:0f:a3:39:e1:c0",-53,1141933605312,0,"16-8",-50,-50.5454545454545,110,2.20772772734738,2,8.66833317310773
"659769",2006-02-19 03:09:38,17,3,1,"00:0f:a3:39:e1:c0",-51,1140340178323,0,"17-3",-49,-48.2272727272727,110,1.97534849281252,4,10.0568384694197
"1110243",2006-03-09 13:02:05,17,7,7.9,"00:0f:a3:39:e1:c0",-49,1141930925153,0,"17-7",-49,-49.6759259259259,108,1.24426688022631,1,9.52575456328789
"1155541",2006-03-09 13:52:51,17,8,1.2,"00:0f:a3:39:e1:c0",-48,1141933971035,0,"17-8",-52,-51.6,110,1.36939014082845,2,9.65090669315583
"666300",2006-02-19 03:18:55,18,3,0,"00:0f:a3:39:e1:c0",-53,1140340735306,0,"18-3",-49,-50.0909090909091,110,2.34049102722921,4,11.0063617967065
"1116679",2006-03-09 13:08:54,18,7,0.4,"00:0f:a3:39:e1:c0",-48,1141931334738,0,"18-7",-47,-48,110,2.93351403391154,4,10.523307464861
"1161887",2006-03-09 14:14:31,18,8,1.5,"00:0f:a3:39:e1:c0",-46,1141935271004,0,"18-8",-48,-50.0818181818182,110,3.76641804912404,8,10.6367288204598
"672937",2006-02-19 03:25:41,19,3,0.3,"00:0f:a3:39:e1:c0",-55,1140341141287,0,"19-3",-53,-52.9449541284404,109,2.01308158095493,1,11.96411300515
"1123104",2006-03-09 13:15:19,19,7,359.3,"00:0f:a3:39:e1:c0",-53,1141931719118,0,"19-7",-61,-59.1,110,3.12418796789111,5.75,11.5212846505934
"1168660",2006-03-09 14:26:17,19,8,359.9,"00:0f:a3:39:e1:c0",-57,1141935977124,0,"19-8",-52,-53.5,108,3.02481945085659,5,11.6249731182485
"16531",2006-02-11 01:55:38,2,0,0.3,"00:0f:a3:39:e1:c0",-59,1139644538444,0,"2-0",-56,-56.1192660550459,109,2.16335118397961,2,8.36301381082203
"41091",2006-02-11 02:19:05,2,1,0.2,"00:0f:a3:39:e1:c0",-51,1139645945380,0,"2-1",-52,-52.4909090909091,110,4.27440742080106,2,7.63806258157132
"281516",2006-02-11 07:17:44,2,10,0.4,"00:0f:a3:39:e1:c0",-49,1139663864883,0,"2-10",-53,-51.9272727272727,110,5.64339199663551,6,6.62872536767062
"288642",2006-02-11 07:23:24,2,11,0.5,"00:0f:a3:39:e1:c0",-55,1139664204032,0,"2-11",-52,-52.3125,112,1.45212643084932,1.25,7.23463889907437
"296385",2006-02-11 07:28:53,2,12,0.2,"00:0f:a3:39:e1:c0",-56,1139664533461,0,"2-12",-56,-56.3727272727273,110,0.907250012669003,1,7.92085853932514
"303886",2006-02-11 07:37:33,2,13,359.9,"00:0f:a3:39:e1:c0",-57,1139665053141,0,"2-13",-59,-58.4403669724771,109,1.61263065884971,1,8.66833317310773
"65870",2006-02-11 02:41:06,2,2,359.9,"00:0f:a3:39:e1:c0",-45,1139647266374,0,"2-2",-48,-48.8454545454545,110,2.90266048047087,4,6.98140387028282
"90680",2006-02-11 02:59:51,2,3,0.1,"00:0f:a3:39:e1:c0",-50,1139648391788,0,"2-3",-54,-52.9090909090909,110,3.85647425265416,7,6.41404708432983
"115491",2006-02-11 03:18:11,2,4,0,"00:0f:a3:39:e1:c0",-61,1139649491893,0,"2-4",-57,-57.0181818181818,110,1.55026969054673,2,5.96154342431555
"131484",2006-02-11 03:50:35,2,5,0.4,"00:0f:a3:39:e1:c0",-47,1139651435278,0,"2-5",-50,-53.3181818181818,110,8.88760792595724,8,5.65154846037792
"250861",2006-02-11 06:28:21,2,6,0.6,"00:0f:a3:39:e1:c0",-59,1139660901774,0,"2-6",-50,-50.6,110,3.72740901721979,4,5.50817574156816
"258876",2006-02-11 06:35:28,2,7,0.4,"00:0f:a3:39:e1:c0",-49,1139661328788,0,"2-7",-51,-50.5636363636364,110,1.91338727803071,3,5.54436651025164
"266188",2006-02-11 06:43:34,2,8,0.2,"00:0f:a3:39:e1:c0",-56,1139661814407,0,"2-8",-49,-50.6,110,2.98682120613725,6,5.7567351858497
"273555",2006-02-11 06:56:59,2,9,0.9,"00:0f:a3:39:e1:c0",-49,1139662619973,0,"2-9",-49,-49.6363636363636,110,2.17882753054019,4,6.12698947281616
"679584",2006-02-19 03:32:13,20,3,359.5,"00:0f:a3:39:e1:c0",-57,1140341533004,0,"20-3",-56,-55.5596330275229,109,0.985366942936699,1,12.9282636111738
"1129600",2006-03-09 13:26:17,20,7,1.5,"00:0f:a3:39:e1:c0",-50,1141932377531,0,"20-7",-49,-49.2363636363636,110,3.39705018483663,0,12.5195846576474
"1175199",2006-03-09 14:32:35,20,8,1.5,"00:0f:a3:39:e1:c0",-54,1141936355620,0,"20-8",-51,-51.0363636363636,110,1.75011020741983,2,12.6150703525585
"686419",2006-02-19 04:11:11,21,3,0.1,"00:0f:a3:39:e1:c0",-52,1140343871154,0,"21-3",-52,-54.4090909090909,110,3.78382713529898,7,13.8974817862806
"727633",2006-02-19 04:54:23,21,4,0.3,"00:0f:a3:39:e1:c0",-51,1140346463616,0,"21-4",-51,-52,110,2.80889805028248,5,13.6945244532258
"769074",2006-02-19 05:49:26,21,5,0.3,"00:0f:a3:39:e1:c0",-60,1140349766062,0,"21-5",-58,-58.4636363636364,110,2.19121378423166,3,13.5624481565829
"803153",2006-02-19 06:30:01,21,6,0,"00:0f:a3:39:e1:c0",-57,1140352201802,0,"21-6",-60,-59.8363636363636,110,1.27450132523405,2,13.5033329219123
"837390",2006-02-19 07:47:12,21,7,359.9,"00:0f:a3:39:e1:c0",-58,1140356832472,0,"21-7",-59,-59.4818181818182,110,1.43821894303571,1,13.5181359661752
"878882",2006-02-19 08:48:11,21,8,359.9,"00:0f:a3:39:e1:c0",-52,1140360491912,0,"21-8",-51.5,-52.5181818181818,110,3.29228126531462,5,13.6066160377957
"693352",2006-02-19 04:17:43,22,3,0.5,"00:0f:a3:39:e1:c0",-58,1140344263099,0,"22-3",-55,-56.5495495495495,111,3.81322754903302,7,14.8707767113894
"734598",2006-02-19 05:00:46,22,4,0,"00:0f:a3:39:e1:c0",-56,1140346846120,0,"22-4",-55,-56.5363636363636,110,3.90876989197245,6.75,14.681280598095
"775838",2006-02-19 05:58:09,22,5,359.7,"00:0f:a3:39:e1:c0",-54,1140350289739,0,"22-5",-55,-55.9727272727273,110,1.7993836401864,4,14.5581592242976
"809914",2006-02-19 06:36:27,22,6,359.9,"00:0f:a3:39:e1:c0",-63,1140352587430,0,"22-6",-59,-59.8363636363636,110,1.76888122382105,2,14.50310311623
"844414",2006-02-19 07:54:32,22,7,0.2,"00:0f:a3:39:e1:c0",-62,1140357272619,0,"22-7",-62,-60.5,110,2.85666771933937,1,14.5168867185771
"885657",2006-02-19 08:56:26,22,8,0,"00:0f:a3:39:e1:c0",-62,1140360986399,0,"22-8",-53,-55.2636363636364,110,3.90172220908033,7.75,14.5993150524263
"700228",2006-02-19 04:24:08,23,3,0.5,"00:0f:a3:39:e1:c0",-52,1140344648095,0,"23-3",-54,-54.2636363636364,110,1.26836796622594,2,15.8473972626422
"741492",2006-02-19 05:07:32,23,4,359.9,"00:0f:a3:39:e1:c0",-52,1140347252265,0,"23-4",-52,-53.6363636363636,110,3.14110736252134,1.75,15.6697160152952
"782548",2006-02-19 06:10:28,23,5,359.8,"00:0f:a3:39:e1:c0",-53,1140351028045,0,"23-5",-54,-54.2636363636364,110,0.699636507553924,1,15.5544205935162
"816734",2006-02-19 07:02:30,23,6,359.9,"00:0f:a3:39:e1:c0",-63,1140354150481,0,"23-6",-59,-59.2181818181818,110,1.29488633047102,1,15.5029029539632
"851216",2006-02-19 08:00:36,23,7,359.6,"00:0f:a3:39:e1:c0",-57,1140357636730,0,"23-7",-56,-58.3636363636364,110,3.67667398740692,8,15.5157984003402
"892601",2006-02-19 09:05:11,23,8,0.1,"00:0f:a3:39:e1:c0",-57,1140361511232,0,"23-8",-58,-57.8090909090909,110,1.7478450928855,3,15.5929471236197
"707062",2006-02-19 04:30:57,24,3,359.9,"00:0f:a3:39:e1:c0",-59,1140345057884,0,"24-3",-57,-57.5272727272727,110,1.86571722150639,2,16.8267643948562
"748446",2006-02-19 05:14:12,24,4,359.8,"00:0f:a3:39:e1:c0",-59,1140347652546,0,"24-4",-57,-57.5909090909091,110,1.56390158155727,3,16.6595318061463
"789357",2006-02-19 06:17:09,24,5,0.1,"00:0f:a3:39:e1:c0",-60,1140351429822,0,"24-5",-63,-63.8454545454545,110,2.21829905759438,2,16.5511328917389
"823478",2006-02-19 07:09:07,24,6,0.3,"00:0f:a3:39:e1:c0",-61,1140354547005,0,"24-6",-59.5,-59.8181818181818,110,1.79285952816716,2,16.5027270473701
"858157",2006-02-19 08:23:30,24,7,0.3,"00:0f:a3:39:e1:c0",-58,1140359010124,0,"24-7",-58,-59.0454545454545,110,2.75410074115134,6,16.5148418097177
"899429",2006-02-19 09:13:56,24,8,0,"00:0f:a3:39:e1:c0",-58,1140362036921,0,"24-8",-56,-56.3090909090909,110,2.21233180377816,2,16.5873445734994
"713951",2006-02-19 04:37:33,25,3,0,"00:0f:a3:39:e1:c0",-59,1140345453665,0,"25-3",-59,-58.8,110,0.993557226989343,2,17.8084249724674
"755257",2006-02-19 05:20:35,25,4,0.1,"00:0f:a3:39:e1:c0",-57,1140348035590,0,"25-4",-56,-56.9369369369369,111,3.64885854948759,1,17.6504957437461
"865092",2006-02-19 08:30:34,25,7,0.3,"00:0f:a3:39:e1:c0",-55,1140359434854,0,"25-7",-53,-53.9727272727273,110,1.67254731236321,2,17.5139944044755
"906310",2006-02-19 09:21:28,25,8,0.6,"00:0f:a3:39:e1:c0",-56,1140362488241,0,"25-8",-54,-54.4909090909091,110,1.38633868365135,1,17.5823775411632
"720761",2006-02-19 04:47:58,26,3,359.8,"00:0f:a3:39:e1:c0",-52,1140346078408,0,"26-3",-53,-54.0454545454545,110,2.31622265902305,4,18.792019582791
"762014",2006-02-19 05:27:00,26,4,359.8,"00:0f:a3:39:e1:c0",-58,1140348420634,0,"26-4",-60,-60.6454545454545,110,2.20751994031894,3,18.6424247349963
"796325",2006-02-19 06:23:42,26,5,0.4,"00:0f:a3:39:e1:c0",-57,1140351822423,0,"26-5",-56,-56.5636363636364,110,1.57693974175435,2.75,18.545619428857
"830391",2006-02-19 07:30:48,26,6,0.4,"00:0f:a3:39:e1:c0",-59,1140355848494,0,"26-6",-59,-58.5272727272727,110,1.85585654157834,3,18.5024322725419
"872010",2006-02-19 08:39:08,26,7,0.5,"00:0f:a3:39:e1:c0",-62,1140359948762,0,"26-7",-57,-57.8181818181818,110,2.25925951245547,3,18.513238506539
"913291",2006-02-19 09:28:18,26,8,0.1,"00:0f:a3:39:e1:c0",-60,1140362898223,0,"26-8",-60,-60.0917431192661,109,1.93190217337094,1,18.5779439120695
"920316",2006-02-19 09:37:03,27,3,0.2,"00:0f:a3:39:e1:c0",-55,1140363423556,0,"27-3",-54,-53.7,110,1.25288657533003,2,19.7772596686194
"954959",2006-02-19 10:15:52,27,7,0.1,"00:0f:a3:39:e1:c0",-58,1140365752817,0,"27-7",-55,-54.5504587155963,109,1.99297952328273,4,19.5125600575629
"1002688",2006-02-19 11:24:15,27,8,0.2,"00:0f:a3:39:e1:c0",-63,1140369855058,0,"27-8",-57,-58.4363636363636,110,2.73115653402445,3,19.5739622968882
"927317",2006-02-19 09:45:52,28,3,0.4,"00:0f:a3:39:e1:c0",-59,1140363952369,0,"28-3",-57,-59.4727272727273,110,3.94156651880761,6,20.7639109996166
"961831",2006-02-19 10:29:37,28,7,0.6,"00:0f:a3:39:e1:c0",-64,1140366577041,0,"28-7",-64,-63.5545454545455,110,0.953856139369128,1,20.5119477378429
"1009528",2006-02-19 11:34:10,28,8,0,"00:0f:a3:39:e1:c0",-59,1140370450791,0,"28-8",-58,-57.4454545454545,110,1.56560721072749,1.75,20.5703670361032
"934208",2006-02-19 09:53:02,29,3,0.5,"00:0f:a3:39:e1:c0",-60,1140364382380,0,"29-3",-58,-58.3181818181818,110,1.63635205259546,2,21.7517815362328
"968769",2006-02-19 10:36:42,29,7,0.7,"00:0f:a3:39:e1:c0",-60,1140367002995,0,"29-7",-57,-54.6181818181818,110,3.67231601591793,7.75,21.5113923305768
"1016232",2006-02-19 11:43:07,29,8,0.2,"00:0f:a3:39:e1:c0",-61,1140370987344,0,"29-8",-56,-57.2818181818182,110,3.40838636033501,6,21.5671045808194
"311487",2006-02-11 07:48:14,3,3,0.3,"00:0f:a3:39:e1:c0",-51,1139665694929,0,"3-3",-53,-55.7247706422018,109,4.54376161597787,9,5.58032257132148
"587454",2006-02-11 14:02:28,3,7,1.2,"00:0f:a3:39:e1:c0",-57,1139688148369,0,"3-7",-55,-55.5229357798165,109,2.27545815604499,2,4.55411901469428
"631524",2006-02-11 15:00:21,3,8,358.3,"00:0f:a3:39:e1:c0",-56,1139691621810,0,"3-8",-48,-48.2545454545455,110,1.78390543438613,2,4.81040538832228
"941279",2006-02-19 10:00:39,30,3,0.7,"00:0f:a3:39:e1:c0",-55,1140364839884,0,"30-3",-57,-57.4363636363636,110,2.16531148140622,3,22.7407123898967
"975564",2006-02-19 10:44:25,30,7,0,"00:0f:a3:39:e1:c0",-60,1140367465576,0,"30-7",-58,-58.6545454545455,110,1.8692900268115,3,22.510886255321
"1023087",2006-02-19 11:51:47,30,8,0.3,"00:0f:a3:39:e1:c0",-52,1140371507961,0,"30-8",-52.5,-54.6454545454545,110,4.58675069102133,7,22.5641308274881
"948134",2006-02-19 10:07:26,31,3,0.3,"00:0f:a3:39:e1:c0",-58,1140365246562,0,"31-3",-58,-60.1818181818182,110,3.77140817197852,7,23.7305710002941
"982397",2006-02-19 10:52:54,31,7,0.4,"00:0f:a3:39:e1:c0",-58,1140367974204,0,"31-7",-58,-58.5909090909091,110,2.02867270091544,1,23.5104232203506
"1029854",2006-02-19 12:59:45,31,8,0.4,"00:0f:a3:39:e1:c0",-57,1140375585924,0,"31-8",-54,-54.4090909090909,110,2.09978353862747,3,23.5614091259415
"1077270",2006-02-19 13:57:13,32,3,0,"00:0f:a3:39:e1:c0",-59,1140379033379,0,"32-3",-57,-57.3363636363636,110,1.89289968681746,4,24.7212459232944
"1063581",2006-02-19 13:45:29,32,4,0.5,"00:0f:a3:39:e1:c0",-57,1140378329327,0,"32-4",-59,-59.5181818181818,110,0.875055103709917,1,24.6077223651438
"1056592",2006-02-19 13:27:46,32,5,359.7,"00:0f:a3:39:e1:c0",-67,1140377266749,0,"32-5",-64,-63.8256880733945,109,1.09581727235588,1,24.534465553584
"1049645",2006-02-19 13:20:43,32,6,0.2,"00:0f:a3:39:e1:c0",-57,1140376843130,0,"32-6",-58,-58.1727272727273,110,0.956475668668033,1,24.5018366658502
"989209",2006-02-19 11:01:15,32,7,0,"00:0f:a3:39:e1:c0",-62,1140368475359,0,"32-7",-62,-61.5090909090909,110,2.4820288185031,3,24.5099979600162
"1036451",2006-02-19 13:07:11,32,8,0.6,"00:0f:a3:39:e1:c0",-55,1140376031268,0,"32-8",-57,-56.6,110,2.16815991827002,3,24.558908770546
"1084139",2006-02-19 14:19:50,33,3,359.9,"00:0f:a3:39:e1:c0",-70,1140380390036,0,"33-3",-59,-60.2477064220183,109,4.49723364208848,9,25.7126428046593
"1070385",2006-02-19 13:51:22,33,4,359.8,"00:0f:a3:39:e1:c0",-64,1140378682025,0,"33-4",-64,-64.2090909090909,110,1.33475389990481,2,25.6035153836343
"995972",2006-02-19 11:09:25,33,7,0.5,"00:0f:a3:39:e1:c0",-62,1140368965814,0,"33-7",-55,-54.0272727272727,110,3.44673516816028,6,25.5096060338062
"1043187",2006-02-19 13:13:46,33,8,0.3,"00:0f:a3:39:e1:c0",-59,1140376426680,0,"33-8",-53,-55.2545454545455,110,3.50474478814436,7,25.5566038432339
"322206",2006-02-11 08:02:17,4,3,0.6,"00:0f:a3:39:e1:c0",-51,1139666537654,0,"4-3",-49,-49.1545454545455,110,1.88273840985233,2,4.81040538832228
"579885",2006-02-11 13:55:51,4,7,359.9,"00:0f:a3:39:e1:c0",-54,1139687751272,0,"4-7",-53,-52.8363636363636,110,3.01837574866574,3,3.56931365951495
"624207",2006-02-11 14:54:24,4,8,359.6,"00:0f:a3:39:e1:c0",-49,1139691264367,0,"4-8",-47,-47.3363636363636,110,1.59860760931938,3,3.89101529166874
"326855",2006-02-11 08:06:14,5,3,359.9,"00:0f:a3:39:e1:c0",-53,1139666774577,0,"5-3",-55,-55.2018348623853,109,1.23062628224459,1,4.14004830889689
"572732",2006-02-11 13:49:13,5,7,1.5,"00:0f:a3:39:e1:c0",-46,1139687353747,0,"5-7",-49,-48.9363636363636,110,2.93750587811951,6,2.59615099714943
"616982",2006-02-11 14:43:17,5,8,0.8,"00:0f:a3:39:e1:c0",-48,1139690597662,0,"5-8",-47,-47.3333333333333,111,1.19341628287971,1,3.0232432915662
"333952",2006-02-11 08:12:53,6,3,0.2,"00:0f:a3:39:e1:c0",-43,1139667173678,0,"6-3",-46,-46.6846846846847,111,1.58963679088813,3,3.62491379207837
